Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Ankorstore Casing (product.metafields.asc.casing),Ankorstore VAT (product.metafields.asc.vat),Cable and fitting included (product.metafields.custom.cable_fitting),Capacity (ml) (product.metafields.custom.capacity__ml_),Care & Maintenance (product.metafields.custom.care___maintenance),Color Selector (product.metafields.custom.color_selector),Color (product.metafields.custom.colour),Country of origin (product.metafields.custom.country_origin),Diameter (product.metafields.custom.diameter),Diameter glass (product.metafields.custom.diameter_glass),Dishwasher proof (product.metafields.custom.dishwasher_proof),ETA (product.metafields.custom.eta),Food proof (product.metafields.custom.food_proof),Stand included (product.metafields.custom.including_stand),Inner cushion included (product.metafields.custom.inner_cushion),Lightspeed Internal ID (product.metafields.custom.internal_id),Lightspeed Internal Variant ID (product.metafields.custom.internal_variant_id),Material (product.metafields.custom.material),metro_destination_region1 (product.metafields.custom.metro_destination_region),metro_destination_region2 (product.metafields.custom.metro_destination_region2),metro_inventory_id (product.metafields.custom.metro_inventory_id),Microwave proof (product.metafields.custom.microwave_proof),Oven proof (product.metafields.custom.oven_proof),Size (product.metafields.custom.size),Size Selector (product.metafields.custom.size_selector),Length (product.metafields.custom.size_x_value),Height (product.metafields.custom.size_y_value),Width (product.metafields.custom.size_z_value),Type of fitting (product.metafields.custom.type_of_fitting),Usage (product.metafields.custom.usage),Variation products (product.metafields.custom.variation_products),Variation value (product.metafields.custom.variation_value),Washing protocol (product.metafields.custom.washing_protocol),Waterproof (product.metafields.custom.waterproof),Voltage (product.metafields.custom.watt),Wattage (product.metafields.custom.wattage),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Barware material (product.metafields.shopify.barware-material),Basket material (product.metafields.shopify.basket-material),Color (product.metafields.shopify.color-pattern),Material (product.metafields.shopify.material),Mounting type (product.metafields.shopify.mounting-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
the-peniche-mug-l-2,The Peniche Mug - L,"<p>Ridges of earthy clay catch the morning light, the Peniche Mug waiting quietly for your first sip. Its textured surface invites the hand, offering a moment to pause and notice the subtle warmth of stoneware.</p>
<p>Its generous form makes it a large ceramic coffee mug, perfect for slow, mindful drinks. The sturdy handle and smooth interior provide comfort, while its natural stoneware retains heat, enhancing aromas and flavors with every sip. Ideal for sunlit mornings or quiet desk moments, it elevates simple rituals with tactile presence.</p>
<p>Handcrafted in Portugal, each piece reveals subtle variations in tone and texture. Every mug is uniquely formed, a quiet testament to artisanal skill and natural beauty.</p>",Bazar Bizar Antwerp,,Cups & Mugs,"",false,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,20.00,0.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0690/9404/8048/files/0021024_the-peniche-mug-l_cfae9823-a3dc-4c02-9f92-51c8f64e3086.jpg?v=1773409383,1,the-peniche-mug-l,false,Rustic Stoneware Mug for Mindful Sips and Timeless Craft,Handcrafted rustic stoneware mug with subtle textures and generous form. Elevate your coffee moments and shop this artisanal piece now.,,,,,,,,,,,,,,,,"Wash and dry thoroughly before first use. Prevent thermal shock by allowing gradual heating and cooling, and always place hot items on suitable trivets. For best care, handle gently and hand wash larger or more delicate pieces.",,Mixed Colours,Portugal,,,,,,,,,,Stoneware,,,,,,,,13.5,8.5,9,,Indoor,,,,,,,,,,,,,,,,,,kg,,0.00,draft
the-peniche-mug-l-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0690/9404/8048/files/0021026_the-peniche-mug-l_f74156f2-7a09-4df5-a622-badb5704c6f3.jpg?v=1773409383,2,the-peniche-mug-l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-peniche-mug-l-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0690/9404/8048/files/0021023_the-peniche-mug-l_1a0a6274-bd00-46cf-9ae4-e44bb3583926.jpg?v=1773409384,3,the-peniche-mug-l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-peniche-mug-l-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0690/9404/8048/files/0021002_the-peniche-mug-l_12978b2b-397f-4315-9e6b-0e9605db007f.jpg?v=1773409384,4,the-peniche-mug-l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-peniche-mug-l-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0690/9404/8048/files/0021025_the-peniche-mug-l_2c055d4f-ed02-4c91-a4b9-82857fd0fe4a.jpg?v=1773409384,5,the-peniche-mug-l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-shell-purse-on-stand-1,The Shell Purse on Stand,"The Shell Purse on stand is a handmade bag from Indonesia, handcrafted with organic fibre and covered with hand placed sea shells. A beautiful decorative statement piece to add a true bohemian chic vibe to your home interior. You can also hang the bag as a lovely eye-catcher to embellish a blank wall.",Bazar Bizar Antwerp,Uncategorized,On Stand,"",true,Title,Default Title,,,,,,,,BAKU009NBr,0.0,shopify,4,deny,manual,134.95,0.00,true,true,,,,,7438246156138,https://cdn.shopify.com/s/files/1/0690/9404/8048/files/0028194_baku009nbr.jpg?v=1773408642,1,"",false,,,,,,,,,,,,,,,,,,"Dust shell surfaces gently using a soft, dry cloth and handle with care, as the material is naturally delicate. Avoid moisture, high humidity, and any chemical or abrasive cleaners, as these may cause cracking or surface damage. Suitable for indoor use only.",,Natural Brown,Indonesia,,,,,,Yes,,,,Shell,,,,,,,,20,75,12,,Indoor,,,,,,,,,,,,,,,,,,kg,,32.67,active
the-shell-purse-on-stand-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0690/9404/8048/files/0020231_the-shell-purse-on-stand.jpg?v=1773408643,2,the-shell-purse-on-stand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-shell-purse-on-stand-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0690/9404/8048/files/0020230_the-shell-purse-on-stand.jpg?v=1773408643,3,the-shell-purse-on-stand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-island-fuzzy-chair-natural-brown,The Island Fuzzy Chair - Natural Brown,,Bazar Bizar Antwerp,,"","",false,Title,Default Title,,,,,,,,JAAM021NBr,0.0,shopify,0,deny,manual,249.95,0.00,true,true,,,,,7438246067014,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,0.00,draft
the-suar-bar-stool-oud-model,The Suar Bar Stool - OUD MODEL,,Bazar Bizar Antwerp,,"","",false,Title,Default Title,,,,,,,,JAAM034N,0.0,shopify,0,deny,manual,119.95,0.00,true,true,,,,,7438246139186,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,0.00,draft
